1, 1, 76, 79, 81, 79, 72, 77.4, 3.50714
4, 4, 373, 369, 372, 370, 345, 365.8, 11.7346
8, 8, 480, 482, 499, 505, 457, 484.6, 18.7963
12, 12, 516, 514, 512, 519, 471, 506.4, 19.9575
16, 16, 495, 489, 483, 485, 457, 481.8, 14.6014
