1, 1, 92, 90, 89, 92, 90, 90.6, 1.34164
4, 4, 276, 184, 270, 350, 365, 289, 72.5465
8, 8, 259, 267, 270, 273, 356, 285, 40.0312
12, 12, 332, 364, 364, 301, 356, 343.4, 27.0887
16, 16, 357, 364, 364, 360, 360, 361, 3
