500 , 260, 264, 256, 260, 242, 256.4, 8.53229
1000 , 344, 352, 349, 352, 324, 344.2, 11.7558
1500 , 372, 368, 368, 372, 341, 364.2, 13.1225
2000 , 376, 376, 374, 370, 340, 367.2, 15.4013
2500 , 373, 371, 368, 374, 340, 365.2, 14.2724
3000 , 364, 368, 380, 384, 336, 366.4, 18.8892
3500 , 360, 368, 364, 364, 336, 358.4, 12.8374
4000 , 361, 364, 364, 363, 329, 356.2, 15.2545
4500 , 360, 362, 358, 354, 321, 351, 17.0294
5000 , 355, 360, 355, 349, 340, 351.8, 7.66159
5500 , 351, 355, 355, 351, 335, 349.4, 8.29458
6000 , 351, 350, 349, 352, 316, 343.6, 15.4693
6500 , 343, 350, 345, 350, 318, 341.2, 13.3304
7000 , 348, 349, 346, 343, 317, 340.6, 13.3903
7500 , 345, 348, 344, 374, 348, 351.8, 12.5379
8000 , 342, 341, 342, 339, 309, 334.6, 14.3631
8500 , 344, 342, 342, 345, 309, 336.4, 15.3721
9000 , 339, 342, 341, 337, 310, 333.8, 13.4425
9500 , 340, 336, 341, 340, 310, 333.4, 13.2212
10000 , 338, 342, 338, 339, 311, 333.6, 12.7397
