1, 1, 69, 69, 69, 68, 64, 67.8, 2.16795
4, 4, 220, 230, 225, 222, 221, 223.6, 4.03733
8, 8, 296, 304, 289, 286, 267, 288.4, 13.8311
12, 12, 301, 314, 324, 315, 320, 314.8, 8.70057
16, 16, 0, 336, 336, 349, 302, 264.6, 148.939
